dataset,model,seed,fraction,lr,epochs,best_val_iou,test_loss,test_iou,test_dice,test_pixel_acc,per_class_iou,per_class_dice,latency_ms,num_params,param_memory_mb,peak_cuda_memory_mb,checkpoint_path,history_path,class_names,train_time_s
KvasirSEG,unet_resnet34,42,1.0,0.0003,25,0.8984539628028869,0.1361602560679118,0.8833367458979289,0.9354581153392791,0.9660576375325521,"[0.9600614404678345, 0.8066120513280233]","[0.9795501605669658, 0.8913660701115926]",8.321094959974289,24451618,93.28,418.21,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed42_frac1p0_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed42_frac1p0_lr0p0003.csv,"[""background"", ""polyp""]",520.5690019130707
KvasirSEG,unet_resnet34,42,0.5,0.0003,25,0.8846724100907644,0.154389950633049,0.8732665212949117,0.929250628153483,0.962611083984375,"[0.9561652477582295, 0.7903677948315938]","[0.9774477767944336, 0.8810534795125325]",8.235853299993323,24451618,93.28,418.46,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed42_frac0p5_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed42_frac0p5_lr0p0003.csv,"[""background"", ""polyp""]",176.79890727996826
KvasirSEG,unet_resnet34,42,0.25,0.0003,25,0.868641578356425,0.18702958166599273,0.8624938587347667,0.922700530687968,0.9589593521753947,"[0.9519445260365804, 0.7730431914329529]","[0.9752577805519104, 0.8701432808240255]",8.437023119986407,24451618,93.28,416.59,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed42_frac0p25_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed42_frac0p25_lr0p0003.csv,"[""background"", ""polyp""]",376.2009608745575
KvasirSEG,unet_resnet34,2025,1.0,0.0003,25,0.8859365793069204,0.14008695463339488,0.878813677628835,0.9331529076894124,0.9640561938285828,"[0.957435139020284, 0.8001922162373861]","[0.9781929214795431, 0.8881128938992818]",8.199604140027077,24451618,93.28,418.09,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed2025_frac1p0_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed2025_frac1p0_lr0p0003.csv,"[""background"", ""polyp""]",422.5684587955475
KvasirSEG,unet_resnet34,2025,0.5,0.0003,25,0.8779810992876689,0.15519064009189606,0.8769743951161703,0.931672656138738,0.9645829280217488,"[0.9584265716870626, 0.7955222185452779]","[0.9787083911895752, 0.8846369210879008]",8.433561319980072,24451618,93.28,417.09,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed2025_frac0p5_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed2025_frac0p5_lr0p0003.csv,"[""background"", ""polyp""]",242.1383159160614
KvasirSEG,unet_resnet34,2025,0.25,0.0003,25,0.8483389544487,0.22147085189819335,0.8482079990704854,0.913016756772995,0.9542865006128947,"[0.9469345005353292, 0.7494814976056416]","[0.9725279275576274, 0.8535055859883627]",8.559655099961674,24451618,93.28,417.09,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed2025_frac0p25_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed2025_frac0p25_lr0p0003.csv,"[""background"", ""polyp""]",283.166095495224
KvasirSEG,unet_resnet34,3407,1.0,0.0003,25,0.8856332004070282,0.13394068757692973,0.8869003466765086,0.9375649023056031,0.9674713150660197,"[0.9617746965090433, 0.8120259968439738]","[0.9804033501942953, 0.8947264544169108]",8.40165049994539,24451618,93.28,417.09,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed3407_frac1p0_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed3407_frac1p0_lr0p0003.csv,"[""background"", ""polyp""]",333.6838262081146
KvasirSEG,unet_resnet34,3407,0.5,0.0003,25,0.874085255463918,0.155775874654452,0.875563372373581,0.9307033483187358,0.9630492154757182,"[0.9564882850646973, 0.7946384596824646]","[0.9776359899838766, 0.8837707066535949]",8.388090160005959,24451618,93.28,417.09,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed3407_frac0p5_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed3407_frac0p5_lr0p0003.csv,"[""background"", ""polyp""]",237.65578246116638
KvasirSEG,unet_resnet34,3407,0.25,0.0003,25,0.854003598690033,0.2085956350962321,0.8466454680760701,0.9122102252642313,0.9530603043238322,"[0.945297699769338, 0.7479932363828024]","[0.9716428470611572, 0.8527776034673055]",8.37384442005714,24451618,93.28,417.09,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_unet_resnet34_seed3407_frac0p25_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_unet_resnet34_seed3407_frac0p25_lr0p0003.csv,"[""background"", ""polyp""]",196.73877215385437
KvasirSEG,segnet_vgg16,42,1.0,0.0003,25,0.8856280366579692,0.14746415932973225,0.8745343144734701,0.930071835120519,0.9632083137830099,"[0.9567861247062683, 0.7922825042406718]","[0.9778192567825318, 0.8823244134585063]",19.841229480007314,29476418,112.44,566.63,/kaggle/working/outputs_topic05/KvasirSEG/checkpoints/best_KvasirSEG_segnet_vgg16_seed42_frac1p0_lr0p0003.pt,/kaggle/working/outputs_topic05/KvasirSEG/history/history_KvasirSEG_segnet_vgg16_seed42_frac1p0_lr0p0003.csv,"[""background"", ""polyp""]",474.0543394088745
