dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,1,0.6544689067772457,1.0897708197434743,0.5913281075301624,0.6252316097418468,0.71160860146795,0.750433866182963,0.8354709261939639,0.8353012100855509,0.00029882903314519993
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,2,0.43260784376235234,0.5726028871536255,0.674535252508663,0.6772441824277242,0.7813654740651449,0.7904027700424194,0.9007017044793992,0.8780220556259155,0.0002953345994276017
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,3,0.38797515630722046,0.31608451982339225,0.6773719496670223,0.7563926760355631,0.7844509780406952,0.8501907157897949,0.9071434565952846,0.9237203987439474,0.00028957180815440534
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,4,0.33030554794129874,0.3338597524166107,0.7357723982561202,0.7619050327936808,0.8333772605373746,0.8534120778242748,0.9215601058233351,0.9225601212183634,0.00028163154198651373
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,5,0.3178389860051019,0.3076083052158356,0.7406196005287624,0.7578472991784414,0.8365488662606194,0.8518692668279012,0.9191470373244512,0.9187889623641968,0.0002716390236646797
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,6,0.3056702209370477,0.28548961182435356,0.7440901632819857,0.7766701877117157,0.8378800473042897,0.8654094676176707,0.9213072458902994,0.9288777669270833,0.0002597518411720796
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,7,0.275837935152508,0.33480086505413054,0.7678063220921016,0.7458669674396515,0.8575552389735267,0.8422305949529012,0.9326402573358445,0.9156604019800821,0.0002461574624776804
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,8,0.2543917234454836,0.3192461262146632,0.7885089906908217,0.7688289964199067,0.8733531563054948,0.8613456292947134,0.9381903693789527,0.9185761515299479,0.00023107027905438094
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,9,0.25506837524118875,0.2688555574417114,0.7838772847538903,0.7913267127672832,0.8699736524195898,0.87564706047376,0.9377623966761998,0.93187255859375,0.00021472822479741324
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,10,0.22628623779330934,0.28089711010456087,0.808221752444903,0.7854658981164296,0.8859587553001586,0.871846083799998,0.944606690179734,0.9263860074679057,0.00019738902366467964
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,11,0.23972902056716738,0.24436440547307334,0.795354391847338,0.813439480861028,0.877205015647979,0.8902415382862091,0.939798082624163,0.9432259130477906,0.00017932612521598008
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,12,0.2104718422605878,0.2623139746983846,0.8285395275978815,0.7876688861846923,0.8988156943094163,0.8711235149701436,0.9508889516194662,0.937863159974416,0.000160824392150103
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,13,0.19624541983717964,0.22848727782567343,0.8352345292057309,0.817266960144043,0.9039240380128225,0.8925635019938151,0.9528961181640625,0.9437799072265625,0.00014217560784989694
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,14,0.192130493975821,0.2247467303276062,0.8248907696633112,0.8290420258045197,0.8983637889226278,0.9010580774148306,0.9511039370582217,0.9461743179957072,0.0001236738747840199
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,15,0.1970331221818924,0.2760029697418213,0.8205868970780146,0.797959767182668,0.8948709837027958,0.8791974782943726,0.9496165684291294,0.9375597127278645,0.00010561097633532034
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,16,0.1860174916329838,0.24531240781148275,0.8452227016290029,0.8144193243980408,0.9086945142064776,0.8910290332635243,0.9551379794166202,0.9386647542317709,8.82717752025867e-05
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,17,0.18661262981948398,0.2354625884691874,0.8420770225070772,0.8247689763704936,0.9093078275521597,0.8978723001480102,0.9553645905994234,0.9458716837565104,7.192972094561895e-05
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,18,0.1593848466873169,0.22655525267124177,0.8596181869506836,0.8320468131701152,0.9205391889526731,0.9020703089237213,0.9607340494791666,0.9474821996688843,5.684253752231956e-05
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,19,0.15237477528197424,0.22081788311402004,0.8610834436757224,0.8362009926637014,0.9213783201717195,0.9045531876881917,0.9621084304082961,0.950171103477478,4.324815882792041e-05
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,20,0.14243392114128386,0.2114356311162313,0.8716132640838623,0.837731157541275,0.9282132585843405,0.9063003750642141,0.9647265842982701,0.9491592415173848,3.1360976335320314e-05
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,21,0.1390878256587755,0.20507787466049193,0.8746429809502193,0.8444195206960042,0.9300274309657869,0.9109002669652303,0.9659455617268881,0.9517087817192078,2.1368458013486254e-05
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,22,0.14255288456167495,0.21208703637123108,0.8702292328789121,0.8410629073778788,0.9266083396616436,0.9084372587998708,0.9653915223621187,0.9506342577934265,1.3428191845594673e-05
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,23,0.12059013545513153,0.20967455546061198,0.8928883998166948,0.8418621170520783,0.9416087738105229,0.9088531788190206,0.9707009451729911,0.9511125691731771,7.6654005723983e-06
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,24,0.12245607092266991,0.20720301151275636,0.8929432843412671,0.8440606872240702,0.9415503868034908,0.9105272789796194,0.9703489031110492,0.9517063411076864,4.170966854800051e-06
KvasirSEG,deeplabv3plus_resnet34,3407,0.25,0.0003,25,0.13326419215826762,0.21197216629981994,0.884806242727098,0.8420344384511312,0.9361396829287211,0.9089967453479767,0.9678232102167039,0.9514420572916666,2.9999999999999997e-06
