dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
KvasirSEG,segnet_vgg16,42,0.5,0.0003,1,0.6745797319467678,1.1974082883199055,0.5916577790712201,0.5673854861656825,0.7106508042576701,0.7057577880223592,0.8298545216405114,0.7766416430473327,0.00029882903314519993
KvasirSEG,segnet_vgg16,42,0.5,0.0003,2,0.46301460543344186,0.7594354200363159,0.6693130863267321,0.7008703275521596,0.7790261312972667,0.8116924015680949,0.8912704822628997,0.8834564208984375,0.0002953345994276017
KvasirSEG,segnet_vgg16,42,0.5,0.0003,3,0.3983409772085589,0.3207289671897888,0.6978158313174581,0.7675928982098897,0.802981675710789,0.8583275171120962,0.902553913205169,0.9272812906901041,0.00028957180815440534
KvasirSEG,segnet_vgg16,42,0.5,0.0003,4,0.36791449334732323,0.30467596769332883,0.7160724775735722,0.7829665672779084,0.8174997776053673,0.868900644381841,0.9111977510674055,0.9334184773763021,0.00028163154198651373
KvasirSEG,segnet_vgg16,42,0.5,0.0003,5,0.325553958845693,0.2970843768119812,0.7454578886891521,0.7948144396146138,0.8398943280064782,0.879072101910909,0.9207260664119277,0.9318485530217488,0.0002716390236646797
KvasirSEG,segnet_vgg16,42,0.5,0.0003,6,0.3003841953915219,0.25690428018569944,0.7604216711465702,0.8046248765786489,0.8521620742110319,0.8845966943105061,0.9265524842018305,0.9385696419080098,0.0002597518411720796
KvasirSEG,segnet_vgg16,42,0.5,0.0003,7,0.2845442028239716,0.34685255686442057,0.7748243677061658,0.6961178189516067,0.8619702146496884,0.7990612781047821,0.9311527873194495,0.9134748331705729,0.0002461574624776804
KvasirSEG,segnet_vgg16,42,0.5,0.0003,8,0.3133248073417087,0.26670379400253297,0.7507075220346451,0.8036618157227834,0.8441155996433524,0.8832235622406006,0.9236547337021939,0.9361308805147807,0.00023107027905438094
KvasirSEG,segnet_vgg16,42,0.5,0.0003,9,0.26756880726925164,0.2365280298391978,0.7803848676903303,0.8066001856327056,0.8668334047461665,0.884947636127472,0.9333212209302325,0.9406517537434896,0.00021472822479741324
KvasirSEG,segnet_vgg16,42,0.5,0.0003,10,0.24980518949586292,0.2061757865548134,0.7848505779754283,0.8356241110960643,0.8696091452310252,0.9043743443489075,0.9351883378139761,0.9502082316080729,0.00019738902366467964
