dataset,model,idx,complexity,group,iou,dice
OxfordPet,unet_resnet34,0,0.2471893310546875,Hard,0.7983294328053793,0.8785533905029297
OxfordPet,unet_resnet34,1,0.2541152954101562,Hard,0.8592012723286947,0.9199216961860657
OxfordPet,unet_resnet34,2,0.23454589843749998,Hard,0.8038049737612406,0.8848577737808228
OxfordPet,unet_resnet34,3,0.2270050048828125,Hard,0.6488159199555715,0.7731002767880758
OxfordPet,unet_resnet34,4,0.14173736572265624,Easy,0.8440943360328674,0.9089033206303915
OxfordPet,unet_resnet34,5,0.24851837158203124,Hard,0.5456290046374003,0.6865827341874441
OxfordPet,unet_resnet34,6,0.2511993408203125,Hard,0.8274791439374288,0.8994064132372538
OxfordPet,unet_resnet34,7,0.1489166259765625,Easy,0.8834558725357056,0.9345897436141968
OxfordPet,unet_resnet34,8,0.23486785888671874,Hard,0.7930941581726074,0.876647412776947
OxfordPet,unet_resnet34,9,0.187646484375,Medium,0.7868172327677408,0.8730856974919637
OxfordPet,unet_resnet34,10,0.22253570556640626,Medium,0.7034639418125153,0.8066201607386271
OxfordPet,unet_resnet34,11,0.1406280517578125,Easy,0.8262052734692892,0.897260049978892
OxfordPet,unet_resnet34,12,0.16244354248046874,Easy,0.5565061469872793,0.7100723187128702
OxfordPet,unet_resnet34,13,0.18466339111328126,Medium,0.851936956246694,0.9147968093554179
OxfordPet,unet_resnet34,14,0.11112823486328124,Easy,0.7288741668065389,0.8288650115331014
OxfordPet,unet_resnet34,15,0.23689727783203124,Hard,0.61569944024086,0.7378974854946136
OxfordPet,unet_resnet34,16,0.15647277832031248,Easy,0.7413553396860758,0.8352500796318054
OxfordPet,unet_resnet34,17,0.2161773681640625,Medium,0.8746299942334493,0.9282181262969971
OxfordPet,unet_resnet34,18,0.19587860107421876,Medium,0.8516750534375509,0.9154719909032186
OxfordPet,unet_resnet34,19,0.12273406982421875,Easy,0.6988319953282675,0.8107260862986246
OxfordPet,unet_resnet34,20,0.2582305908203125,Hard,0.7750561436017355,0.8624062736829122
OxfordPet,unet_resnet34,21,0.06302947998046875,Easy,0.731307844320933,0.8333505789438883
OxfordPet,unet_resnet34,22,0.2029876708984375,Medium,0.8302316069602966,0.9022766351699829
OxfordPet,unet_resnet34,23,0.1706512451171875,Easy,0.8673407832781473,0.9239601492881775
OxfordPet,unet_resnet34,24,0.2258148193359375,Hard,0.7623967528343201,0.8534629742304484
OxfordPet,unet_resnet34,25,0.22142181396484376,Medium,0.8653908173243204,0.9226163824399313
OxfordPet,unet_resnet34,26,0.23341827392578124,Hard,0.8535004258155823,0.9156381686528524
OxfordPet,unet_resnet34,27,0.2319793701171875,Hard,0.8555345336596171,0.9170224269231161
OxfordPet,unet_resnet34,28,0.1567657470703125,Easy,0.8445855776468912,0.9091363350550333
OxfordPet,unet_resnet34,29,0.26130828857421873,Hard,0.8015300432840983,0.8816017111142477
OxfordPet,unet_resnet34,30,0.248321533203125,Hard,0.8241349856058756,0.8961930274963379
OxfordPet,unet_resnet34,31,0.23074951171875,Hard,0.7109598716100057,0.814371923605601
OxfordPet,unet_resnet34,32,0.1800140380859375,Medium,0.8314384818077087,0.9020886023839315
OxfordPet,unet_resnet34,33,0.26867523193359377,Hard,0.8518297870953878,0.9150512019793192
OxfordPet,unet_resnet34,34,0.25756072998046875,Hard,0.8595399657885233,0.9212662974993387
OxfordPet,unet_resnet34,35,0.25562744140625,Hard,0.792841374874115,0.8734635710716248
OxfordPet,unet_resnet34,36,0.24518127441406248,Hard,0.7525433301925659,0.8497398495674133
OxfordPet,unet_resnet34,37,0.265509033203125,Hard,0.8465534448623657,0.9122675657272339
